spatial-radial_div,spatial-radial_loy,spatial-radial_reg,weekly_div,weekly_loy,weekly_reg,hourly_div,hourly_loy,hourly_reg,spatial-grid_div,spatial-grid_loy,spatial-grid_reg,age,gender,marital,education,working,OS1Class,DaysClass1,Trouble
0.872499053,0.774193548,0.911868731,0.940794195,0.582089552,0.937361,0.953165137,0.343283582,0.966012808,0.928982491,0.483870968,0.833843306,32,Male,Married,Primary School,Public Servant,1,0,0
NA,NA,NA,0.966471312,0.6,0.805306175,0.919726212,0.4,0.708287918,0.920978578,0.484848485,0.811293038,39,Female,Single,College,Private Sector Employee,0,0,0
0.922397456,0.588235294,0.833010437,0.978453321,0.536,0.991927453,0.859760738,0.448,0.896402899,0.889867949,0.490196078,0.918473039,36,Male,Married,College,Private Sector Employee,1,0,0
0.838448194,0.909090909,0.93290799,0.961809082,0.568493151,0.974371004,0.84477988,0.445205479,0.92058719,0.847139416,0.490909091,0.929522194,37,Male,Single,College,Private Sector Employee,1,0,0
0.890205967,0.596491228,0.897101199,0.987372876,0.511111111,0.902226584,0.874850155,0.42962963,0.882841046,0.856101219,0.49122807,0.844644429,29,Male,Single,College,Private Sector Employee,1,0,0
0.90806369,0.8125,NA,0.879656618,0.75,0.822918672,0.929273853,0.458333333,0.616358863,0.968546354,0.5,NA,30,Male,Single,High School,Private Sector Employee,1,0,0
0.882623264,0.888888889,0.93313281,0.891297234,0.685714286,0.905911461,0.917034014,0.457142857,0.873126484,0.949816323,0.5,0.881964293,28,Female,Single,College,Private Sector Employee,1,1,0
0.702221352,0.864864865,0.891559133,0.97306327,0.533333333,0.983831906,0.94647523,0.277777778,0.975614602,0.858388037,0.5,0.838690079,38,Male,Single,PHD,Private Sector Employee,1,0,0
0.79365534,0.764705882,0.942093304,0.942183134,0.637931034,0.912248093,0.936875526,0.362068966,0.980906752,0.914717235,0.5,0.863299197,40,Male,Married,High School,Self-Employed - Retail,0,0,0
0.959639082,0.75,0.96463225,0.941250407,0.636363636,0.860147609,0.954965533,0.5,0.764279187,0.96956499,0.5,0.929028258,48,Female,Married,Primary School,Private Sector Employee,0,0,0
0.905639062,0.875,0.353545396,0.957928906,0.6,0.715597137,0.922176843,0.6,0.711853818,0.979569765,0.5,0.222324964,52,Male,Married,High School,Private Sector Employee,1,1,0
0.749595257,1,0.46995611,0.913264002,0.64,0.74328442,0.953415172,0.36,0.827127003,0.958744661,0.5,0.87859205,54,Male,Married,Primary School,Retiree & Non-Employed,0,0,0
0.779087184,0.833333333,0.804321373,0.942022899,0.606060606,0.718442199,0.95162532,0.333333333,0.527356078,0.926448969,0.5,0.947991567,41,Male,Married,High School,Non-Employed,1,0,0
0.805288622,0.928571429,0.905467807,0.926539423,0.642857143,0.908141282,0.953820955,0.357142857,0.720295478,0.958744661,0.5,0.87859205,34,Male,Married,PHD,Public Servant,0,0,0
0.896240625,0.833333333,0.355397395,0.700576755,0.857142857,0.765412657,0.957879197,0.5,0.645194305,1,0.5,0.209430585,26,Male,Single,College,Private Sector Employee,0,0,0
0.805288622,0.928571429,0.937832588,0.940925622,0.666666667,0.780068192,0.929481776,0.571428571,0.968678243,0.958744661,0.5,0.823123846,51,Male,Married,High School,Private Sector Employee,1,1,0
0.928383212,0.75,0.816112855,0.929723392,0.631578947,0.827034882,0.961533794,0.421052632,0.957570683,0.979569765,0.5,0.985553642,33,Male,Married,Primary School,Private Sector Employee,1,1,0
0.742463654,0.85,0.464391805,0.936859993,0.633333333,0.740395423,0.927295702,0.466666667,0.619388414,0.939794001,0.5,0.24726739,50,Male,Married,College,Private Sector Employee,1,0,0
0.898244402,0.7,0.775997543,0.975664138,0.583333333,0.702592675,0.951796181,0.583333333,0.703407081,0.973976032,0.5,0.880720864,30,Male,Married,High School,Private Sector Employee,1,0,0
0.979868757,1,0.817608409,0.992928155,0.481481481,0.886117456,0.927662715,0.444444444,0.927078245,0.973197315,0.5,0.928762184,55,Female,Married,High School,Private Sector Employee,0,0,0
0.833711042,0.714285714,0.900629839,0.954303545,0.611111111,0.989177842,0.921353193,0.351851852,0.850391174,0.844267147,0.5,0.798743163,55,Male,Married,Master,Public Servant,0,0,0
NA,NA,NA,0.976099826,0.557692308,0.977248198,0.909132465,0.403846154,0.952397644,0.938431425,0.5,0.848378228,30,Male,Single,College,Private Sector Employee,1,0,0
0.907197909,0.833333333,0.919083575,0.918375223,0.666666667,0.862467029,0.903608912,0.452380952,0.962655376,0.904197015,0.5,0.832425527,45,Male,Married,High School,Private Sector Employee,1,1,0
0.953599835,0.888888889,0.914857019,0.979278197,0.564102564,0.843549972,0.871084356,0.512820513,0.885679143,0.95171832,0.5,0.877303426,27,Female,Divorced,High School,Private Sector Employee,1,0,0
0.882623264,0.888888889,0.964681051,0.952963897,0.588235294,0.961358244,0.967210365,0.323529412,0.875210104,0.95171832,0.5,0.847577311,26,Male,Single,College,Private Sector Employee,0,1,1
NA,NA,NA,0.973142043,0.564102564,0.956629741,0.936002609,0.333333333,0.955553114,0.918885082,0.5,0.800175868,35,Male,Married,College,Public Servant,0,0,0
0.611145228,0.9,0.924133551,0.939838439,0.642857143,0.955112103,0.928896887,0.5,0.928620753,0.926077474,0.5,0.925109837,34,Male,Single,College,Private Sector Employee,0,0,0
0.785475297,0.9,0.880946479,0.844741134,0.933333333,0.945405839,0.928361038,0.666666667,0.958378277,0.948813115,0.5,0.962825636,40,Male,Married,High School,Private Sector Employee,0,0,0
0.806771973,0.8,0.83807784,0.846475143,0.833333333,0.875496344,0.9330846,0.4,0.809666675,0.947562385,0.5,0.876453488,32,Male,Married,College,Private Sector Employee,1,0,0
